1) jobs and applications analysis per company
+--------------------+-------------+----------------+
|             company|total_adverts|total_applicants|
+--------------------+-------------+----------------+
|           Ward-Hand|            1|              12|
|      Fadel-Bergnaum|            1|              11|
|    Emard-Macejkovic|            1|              14|
|         Ritchie LLC|            1|               5|
|      Herzog-Spencer|            1|               3|
|           Mayer LLC|            1|               5|
|     Greenholt Group|            1|              14|
|     Schimmel-Harvey|            1|               3|
|      Keeling-Sawayn|            1|               6|
|   Hermiston-Dibbert|            1|               1|
|            Lang LLC|            1|              11|
|       Streich Group|            1|               1|
|     Klocko-Nitzsche|            1|               8|
|Schultz, Ruecker ...|            1|               5|
|Schroeder, Wilder...|            1|               8|
|          Paucek LLC|            2|              22|
|         Walsh-Beier|            1|               1|
|       Bednar-O'Hara|            1|              10|
|           Berge Inc|            1|              12|
|  Breitenberg-Senger|            1|               4|
|Shields, Erdman a...|            1|               6|
|Rolfson, Collins ...|            1|              11|
|           Bogan Inc|            1|               6|
|VonRueden, Willms...|            1|               9|
|        Predovic Inc|            1|              15|
|     Rosenbaum-Olson|            1|               1|
|         Koelpin LLC|            1|               6|
|Waters, Ferry and...|            1|              10|
|         Lakin-Frami|            1|               9|
|           Adams LLC|            1|               1|
|      Rutherford LLC|            1|               5|
|          Auer-Olson|            1|               2|
|       Rodriguez LLC|            1|               6|
|       King and Sons|            1|               3|
|Jenkins, Baumbach...|            1|               1|
|    Windler and Sons|            1|              11|
|      Towne and Sons|            1|              14|
|Macejkovic, Hand ...|            1|              14|
|             Fay LLC|            1|               7|
|Ullrich-Pfannerstill|            1|              13|
|    Hudson-Bashirian|            1|               5|
|Aufderhar, Ondric...|            1|               9|
|       Schroeder Inc|            1|              10|
|       Bailey-Schumm|            1|               5|
|Abernathy, Haag a...|            1|              14|
|        Kozey-Stokes|            1|              10|
|      Davis and Sons|            1|              14|
|          Kemmer Inc|            1|               4|
|Rohan, Terry and ...|            1|               3|
|Kub, Pfeffer and ...|            1|               3|
|          Hessel LLC|            1|               1|
|        MacGyver LLC|            1|              12|
|       McDermott LLC|            1|              11|
|    Shanahan-Fritsch|            1|               8|
|         Jerde-Ferry|            1|               2|
|       O'Connell Inc|            1|              11|
|     Daugherty-Frami|            1|              15|
|       Goodwin Group|            1|               6|
|         McGlynn LLC|            1|               5|
|      Morissette Inc|            1|               7|
|      Corkery-Schumm|            1|               7|
|      Hirthe-Pacocha|            1|              14|
|       Hyatt-Effertz|            1|               7|
|Hayes, Mueller an...|            1|              13|
|Kshlerin, Senger ...|            1|               7|
|Kilback, Wyman an...|            1|              12|
|     Parker and Sons|            1|              11|
|            Huel LLC|            1|              12|
|Ratke, Franecki a...|            1|              13|
|       Smitham-Hintz|            1|               7|
|      Kuphal-Denesik|            1|              15|
|     Hessel and Sons|            1|              12|
|  Altenwerth-Steuber|            1|              15|
|      Fadel and Sons|            1|               8|
|Hills, Durgan and...|            1|              15|
|Hickle, Corkery a...|            1|               6|
|     Waelchi-Schuppe|            1|               9|
|  Kuhlman-Cartwright|            1|              12|
|   Johnston and Sons|            1|               2|
|     Bashirian-Grady|            1|               3|
|          Willms Inc|            1|               8|
|Shields, Veum and...|            1|               2|
|Kunze, Powlowski ...|            1|               6|
|    Gusikowski Group|            1|               3|
|         Nolan-Marks|            1|               7|
|          Larson LLC|            1|               3|
|Walter, Torphy an...|            1|               4|
|        Reilly Group|            1|               2|
|Kunde, Bosco and ...|            1|               1|
|Bayer, Paucek and...|            1|               6|
|        Champlin LLC|            1|               9|
|         Reichel Inc|            1|               7|
|       Gerlach-Mante|            1|              13|
|   Bergnaum and Sons|            1|              13|
|           Von-Boehm|            1|               9|
|       Heathcote LLC|            1|               4|
|           Dare-Rice|            1|               5|
|      Erdman-Krajcik|            1|              14|
|          Kohler LLC|            1|              11|
|          Lang-Bauch|            1|               8|
|Oberbrunner, Berg...|            1|              13|
|Gislason, Upton a...|            1|              11|
|          Metz Group|            1|               4|
|           Boehm LLC|            1|               2|
|         Howell-Cole|            1|               8|
|        Dooley Group|            1|              11|
|         Tromp Group|            1|              12|
|       Fritsch-Purdy|            1|               1|
|       Ullrich Group|            1|              14|
|      Nikolaus Group|            1|              12|
|Sanford, Howell a...|            1|               9|
|   Kertzmann-Nicolas|            1|              15|
|   Kling-Satterfield|            1|               8|
|  Satterfield-Beatty|            1|              11|
|Balistreri, Rogah...|            1|               3|
|Hackett, Gleichne...|            1|              15|
|   Ritchie-Wilkinson|            1|              14|
|    Ratke-Williamson|            1|               1|
|         Beier Group|            1|               7|
|     Schinner-Durgan|            1|               3|
|     Wilderman Group|            1|               1|
|Gislason, Hills a...|            1|              12|
|Crona, Bechtelar ...|            1|               1|
|O'Connell, Krajci...|            1|              10|
|    Johnston-Collins|            1|              11|
| Balistreri and Sons|            1|               5|
|        Bogisich LLC|            1|               2|
|Dickinson, Jaskol...|            1|               2|
|    Pfannerstill Inc|            1|              10|
|Feest, Oberbrunne...|            1|              14|
|Kuphal, Ernser an...|            1|              11|
|          Roob Group|            1|              11|
|Gusikowski, Upton...|            1|              14|
|Ankunding, Jaskol...|            1|              11|
|Langworth, MacGyv...|            1|              14|
|Hyatt, Fisher and...|            1|               4|
|    Kozey-Morissette|            1|               3|
|      Cormier-Hamill|            1|               8|
|McGlynn, Rau and ...|            1|               8|
|  Stoltenberg-Barton|            1|               9|
|     Tremblay-Cronin|            1|               2|
|     Daugherty-Nolan|            1|               5|
|Carroll, Larkin a...|            1|               8|
|       Pfeffer Group|            1|              14|
|        Schulist LLC|            1|               4|
|       Keebler-Bauch|            1|              15|
|        Borer-Hickle|            1|              14|
|     Beatty and Sons|            1|               2|
|Wisoky, Miller an...|            1|              14|
|Bahringer, Glover...|            1|              14|
|       Bechtelar Inc|            1|              11|
|          Reilly Inc|            2|              10|
|Macejkovic, Boehm...|            1|              12|
|     Oberbrunner Inc|            1|               2|
|Wolf, Heller and ...|            1|              12|
|         Ebert-Beier|            1|               1|
|Feil, Donnelly an...|            1|              13|
|Windler, Wisozk a...|            1|              11|
|Hodkiewicz-Bergstrom|            1|               4|
|      Paucek-Kuvalis|            1|               8|
|       Bayer-McClure|            1|               8|
|     Wisoky-Predovic|            1|              15|
|Hilll, Beer and H...|            1|               7|
|Schumm, Stiedeman...|            1|              11|
|          Littel LLC|            1|               3|
|       Hand-Homenick|            1|              14|
|       Armstrong Inc|            1|              14|
|Johnson, Mosciski...|            1|              13|
|Heathcote, Runolf...|            1|               3|
|  Powlowski-Connelly|            1|              12|
|            Dach LLC|            1|               4|
|  Greenfelder-Hamill|            1|               7|
|Nitzsche, Gulgows...|            1|               3|
|Ankunding, Ondric...|            1|              15|
|Schmeler, Hills a...|            1|               2|
|          King-Wyman|            1|              10|
|        Heller Group|            1|              12|
|Becker, Hermann a...|            1|              14|
|Predovic, Cumming...|            1|               4|
|      MacGyver-Block|            1|               8|
|      Bergnaum-Pagac|            1|               1|
|   Connelly and Sons|            1|               4|
|       Sporer-Abbott|            1|              13|
|Weber, Bailey and...|            1|              14|
|       Koelpin-Ferry|            1|              11|
|      Little-Hagenes|            1|              11|
|     Jenkins-Corkery|            1|              10|
|    Hegmann and Sons|            2|              16|
|Sporer, Kuhn and ...|            1|               4|
|Altenwerth, Volkm...|            1|              13|
|        Hammes-Hauck|            1|               8|
|Lubowitz, Maggio ...|            1|               9|
|         Strosin Inc|            1|              10|
|         Parker-Ward|            1|               4|
|     Kautzer-Rolfson|            1|              11|
|        Cummings LLC|            1|               9|
|        Mante-Wisoky|            1|               7|
|        Jerde-Walter|            1|               8|
|        Weissnat LLC|            1|               7|
|Johns, Pfeffer an...|            1|              14|
|           Feest Inc|            1|               2|
|Streich, Hahn and...|            1|              12|
|            Toy-Rowe|            1|               9|
|  Medhurst-Lueilwitz|            1|              11|
|Larkin, Price and...|            1|               8|
|Stiedemann, Homen...|            1|               7|
|          Jast-Bauch|            1|              10|
|  Armstrong and Sons|            1|              15|
|Pollich, Harvey a...|            1|               2|
|        Tremblay LLC|            1|               2|
|           Bayer LLC|            1|               7|
|Lynch, McCullough...|            1|               6|
|Upton, Hirthe and...|            1|              15|
|      Terry-Gislason|            1|               9|
|            Funk LLC|            1|              15|
|        Marvin Group|            1|               6|
|     Casper and Sons|            1|               1|
|  Keeling-Swaniawski|            1|               9|
|Kshlerin, Watsica...|            1|              12|
|      Nienow-Padberg|            1|               7|
|Armstrong, Crona ...|            1|               2|
|Lind, Kertzmann a...|            1|               7|
|Emmerich, Little ...|            1|               3|
|   Schaefer and Sons|            1|              14|
|          Auer-Moore|            1|              13|
|       Terry-Denesik|            1|               7|
|      Kiehn and Sons|            1|              11|
